"","Model Year","Vehicle Manufacturer Name","Veh Mfr Code","Represented Test Veh Make","Represented Test Veh Model","Test Veh Displacement (L)","Vehicle Type","Rated Horsepower","Tested Transmission Type Code","Tested Transmission Type","# of Gears","Transmission Lockup?","Drive System Code","Drive System Description","Equivalent Test Weight (lbs.)","Axle Ratio","N/V Ratio","Test Fuel Type Description","CO2 (g/mi)","RND_ADJ_FE","Target Coef A (lbf)","Target Coef B (lbf/mph)","Target Coef C (lbf/mph**2)","Set Coef A (lbf)","Set Coef B (lbf/mph)","Set Coef C (lbf/mph**2)","Police - Emergency Vehicle?","Averaging Method Cd","Averging Method Desc"
"1",2018,"BMW","BMX","BMW","330e",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4250,2.93,26,"Electricity",NA,0,52.9,-0.113,0.01826,21.2,0.056,0.01632,"N","N","No averaging"
"2",2018,"BMW","BMX","BMW","330e",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4250,2.93,26,"Electricity",NA,0,52.9,-0.113,0.01826,21.2,0.056,0.01632,"N","N","No averaging"
"3",2018,"BMW","BMX","BMW","330e",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4250,2.93,26,"Electricity",NA,0,44.9,-0.063,0.01831,13,0.128,0.01611,"N","N","No averaging"
"4",2018,"BMW","BMX","BMW","330e",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4250,2.93,26,"Electricity",NA,0,44.9,-0.063,0.01831,13,0.128,0.01611,"N","N","No averaging"
"5",2018,"BMW","BMX","BMW","530e",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4500,3.23,26.6,"Electricity",NA,122.8,51.1,-0.114,0.02015,12.1,0.305,0.0154,"N","N","No averaging"
"6",2018,"BMW","BMX","BMW","530e",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4500,3.23,26.6,"Electricity",NA,122.8,51.1,-0.114,0.02015,12.1,0.305,0.0154,"N","N","No averaging"
"7",2018,"BMW","BMX","BMW","530e xDrive",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4750,3.23,26.6,"Electricity",NA,122.8,56.4,-0.192,0.02215,18.7,0.246,0.01743,"N","N","No averaging"
"8",2018,"BMW","BMX","BMW","530e xDrive",2,"Car",180,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",4750,3.23,26.6,"Electricity",NA,122.8,56.4,-0.192,0.02215,18.7,0.246,0.01743,"N","N","No averaging"
"9",2018,"BMW","BMX","BMW","740e xDrive",2,"Car",255,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",5000,3.23,26.9,"Electricity",NA,33.6,61.6,-0.265,0.02301,20,0.046,0.01943,"N","N","No averaging"
"10",2018,"BMW","BMX","BMW","740e xDrive",2,"Car",255,"SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear",5000,3.23,26.9,"Electricity",NA,42.2,61.6,-0.265,0.02301,20,0.046,0.01943,"N","N","No averaging"
